"","x"
"1","PDCD10"
"2","HIST1H4G"
"3","ELAVL3"
"4","MMP20"
"5","HIST2H2AA3"
"6","SNORD4A"
"7","PCDHGC5"
"8","LAMC1"
"9","PCDHB10"
"10","ATP6V1G2"
"11","CA13"
"12","NACA"
"13","DLEU2"
"14","BMP6"
"15","ZNF420"
"16","PCDHA3"
"17","OCLN"
"18","ARHGAP42"
"19","GPR84"
"20","HOXA1"
