"","TFs","target","mor"
"74","AR","NLGN4X",0.760376602994858
"75","AR","NME7",0.884326356104248
"76","AR","NPAT",0.945985434511442
"77","AR","NPEPPS",0.875760869193789
"78","AR","NUP214",0.917053388058903
"79","AR","ORM1",-0.676132056703438
"80","AR","ORM2",0.184955943832428
"81","AR","PEX6",0.832837465603848
"82","AR","PGC",-0.000152719607240326
"83","AR","PIGR",0.413804690841085
"84","AR","PIN1",0.998499795149693
"85","AR","PMAIP1",0.96486650798394
"86","AR","PMEPA1",0.929526085367973
"87","AR","PNPLA4",0.240807597994892
"88","AR","PNRC1",0.900002532721459
"89","AR","PPP2R5D",0.994568843533252
"90","AR","PRAME",0.998007641424749
"91","AR","PRKCD",-0.0254823924474217
"92","AR","PRPS1",0.981391945660935
"93","AR","PTGS2",0.561941218466983
"94","AR","PTPN9",-4.71362661533585e-07
"95","AR","PTPRM",-1.44578381590103e-05
"96","AR","QSOX1",0.652865748138533
"97","AR","RBMX",0.998764938570041
"98","AR","RBPMS",0.653966275592852
"99","AR","RELA",0.832140855745774
"100","AR","RNASE4",-8.28128181304084e-05
"101","AR","SCAP",0.95721859513012
"102","AR","SCNN1A",0.618038827586355
"103","AR","SDF2",0.288660274831909
"104","AR","SERPINB5",0.997047950199445
"105","AR","SERPINI1",0.347031948723002
"106","AR","SLC25A11",0.675641593882574
"107","AR","SMARCA2",0.956108150329441
"108","AR","SMS",0.998007641424749
"109","AR","SNAI2",0.181312832833039
"110","AR","SORD",0.87465486333402
"111","AR","SOX4",0.951157242993382
"112","AR","SPDEF",0.651763690461449
"113","AR","STK39",0.827915190187896
"114","AR","STXBP2",-2.59725142431511e-07
"115","AR","SUOX",0.987803020668094
"116","AR","TESK1",-0.0104075711158091
"117","AR","THRA",0.881172693174824
"118","AR","TMPRSS2",0.997500152270655
"119","AR","TNFRSF1A",0.324489044493973
"120","AR","TRPS1",-0.77773673415831
"121","AR","UBC",0.241693295732591
"122","AR","UBE2D3",-0.00334733947342145
"123","AR","UGT2B15",0.997282786555426
"124","AR","VAPA",0.853986818083193
"125","AR","VEGFA",0.629416011547303
"126","AR","XPA",0.998007641424749
"127","AR","ZBTB16",0.956332283849283
"128","AR","ZCCHC9",0.973616354333042
"129","AR","ZFHX4",0.905403597017427
"130","AR","ZNF559",0.984950235451126
"131","ARNTL","AVP",0.861957483758911
"132","ARNTL","BHLHE40",-0.000372232454818501
"133","ARNTL","CRY1",-1.37425227671888e-05
"134","ARNTL","CRY2",0.434953249043778
"135","ARNTL","DBP",-8.70941761834305e-07
"136","ARNTL","NR1D1",-0.00644301256389937
"137","ARNTL","NR1D2",-0.751765621350392
"138","ARNTL","PER1",0.983627944400039
"139","ARNTL","PER2",0.701766201302336
"140","ARNTL","PER3",0.529652631250442
"141","ATF1","BCL2",-6.23916755261117e-07
"142","ATF1","CCNA1",-0.00241570398877387
"143","ATF1","CFTR",0.814010357231114
"144","ATF1","CGA",0.918225528152495
"145","ATF1","CIITA",0.289651652988581
"146","ATF1","CYP11B1",0.397569720429703
"147","ATF1","CYP11B2",-0.00737970591238846
"148","ATF1","ERBB2",0.795300005215706
"149","ATF1","FLT1",0.838331819945105
"150","ATF1","IL10",0.249761076730761
"151","ATF1","LDHA",0.910974587426234
"152","ATF1","MAP1LC3B",-0.880117451414024
"153","ATF1","NTS",0.918225528152495
"154","ATF1","PCSK1",0.455152149388231
"155","ATF1","PLAUR",-0.001291015815682
"156","ATF1","SLC20A1",-2.00578943457067e-07
"157","ATF1","TGFB2",0.999262043111276
"158","ATF1","TH",0.601909276897759
"159","ATF1","TOP2A",-0.000102521835949831
"160","ATF1","UGT8",0.965595061403738
"161","ATF2","APOC3",0.729617935724407
"162","ATF2","ATF3",-1.31562583183157e-06
"163","ATF2","CCND1",0.73250868464379
"164","ATF2","CDKN1A",-1.90824213172985e-05
"165","ATF2","CYP11B1",0.631675924002222
"166","ATF2","CYP11B2",-0.0622002005633581
"167","ATF2","DUSP1",0.859542493701519
"168","ATF2","FN1",0.184222981134161
"169","ATF2","FOS",-0.183812018676183
"170","ATF2","IFNB1",0.557180967520105
"171","ATF2","IFNG",0.321329910189298
"172","ATF2","IMPDH2",-5.7371441766227e-07
"173","ATF2","INS",-0.242751646787494
"174","ATF2","JUN",-0.822620529152289
"175","ATF2","MMP2",0.96121196933805
"176","ATF2","NOS3",-4.33148590441736e-07
"177","ATF2","NR4A2",0.785463558134193
"178","ATF2","PCK1",0.74012620617336
"179","ATF2","PCK2",-0.000152719607240326
"180","ATF2","PLAT",0.538054228918726
"181","ATF2","PTGS2",0.905403597017427
"182","ATF2","RB1",0.975666607971605
"183","ATF2","TGFB2",0.998876650180481
"184","ATF2","TNF",-1.01170461017081e-05
"185","ATF4","ASNS",0.804815613690054
"186","ATF4","ATF3",0.93352145511316
"187","ATF4","CEBPB",-0.0165613861251177
"188","ATF4","CHAC1",0.692492120599729
"189","ATF4","DDIT3",0.821428209747927
"190","ATF4","DDIT4",-0.830852667289272
"191","ATF4","DDR2",-1.72558367693608e-05
"192","ATF4","DISC1",0.189399394808581
"193","ATF4","FGF21",0.394118599600807
"194","ATF4","HRK",-0.0205825644692233
"195","ATF4","MCL1",-0.00177028370750139
"196","ATF4","NUPR1",-0.00113631510942074
"197","ATF4","PTGS2",0.796105234042228
"198","ATF4","TRIB3",0.353604101673668
"199","ATF4","VEGFA",0.596096920105262
"200","ATF6","ATP2A2",0.902734614290087
"201","ATF6","CALR",0.972014119810484
"202","ATF6","DDIT3",0.416140258242614
"203","ATF6","DNAJC3",0.996520644904975
"204","ATF6","HSP90B1",-4.45539194710022e-07
"205","ATF6","HSPA5",0.814010357231114
"206","ATF6","RTN3",0.991738018387446
"207","ATF6","SEL1L",0.979109204313201
"208","ATF6","SRF",0.991639982624602
"209","ATF6","XBP1",0.997831539864216
"210","BACH1","HMOX1",0.47790840288281
"211","BACH1","ALDOA",0.677772546344222
"212","BACH1","ASAP1",0.784629398096822
"213","BACH1","CDK6",-6.97536871859448e-07
"214","BACH1","CLIP4",0.910974587426234
"215","BACH1","GCLC",0.318186710599169
"216","BACH1","IFRD1",0.978762939067284
"217","BACH1","KCTD20",0.349216441713988
"218","BACH1","LBR",-1.92484961154086e-06
"219","BACH1","MAFG",0.559562320255105
"220","BACH1","MAPT",-3.97953513411989e-07
"221","BACH1","ME1",-3.85806755252162e-06
"222","BACH1","NQO2",0.74853535259732
"223","BACH1","PHLDA2",0.548828395210152
"224","BACH1","PIK3CD",0.852729122644704
"225","BACH1","PSAP",0.937624933124376
"226","BACH1","RFFL",-0.444808304520519
"227","BACH1","SLC48A1",0.436135990706233
"228","BACH1","SLC7A11",-0.880117451414024
"229","BACH1","SMARCA4",0.321329910189298
"230","BACH1","SQSTM1",0.973331403465516
"231","BACH1","SYNJ2",-2.95791921245481e-06
"232","BACH1","TNFAIP2",0.924239350793771
"233","BACH1","TRIM56",-0.000455092844960962
"234","CDX2","ABCB1",-0.366448300534786
"235","CDX2","AXIN2",-0.920330037597816
"236","CDX2","CDH17",0.74294827372495
"237","CDX2","CFTR",0.967528660207317
"238","CDX2","DSC2",-0.0066985646886233
"239","CDX2","GUCY2C",-0.990428960736456
"240","CDX2","KLF4",-0.975672230187614
"241","CDX2","LCT",0.277886164142396
"242","CDX2","MEP1A",0.952860309282864
"243","CDX2","MUC2",0.922772853634446
"244","CDX2","REG4",0.971713466216787
"245","CDX2","SI",-0.00877218595721624
"246","CDX2","SLC15A1",-0.00031088264848279
"247","CDX2","SLC9A2",-1.38949166838513e-06
"248","CDX2","SLC9A3",-0.0132768411053692
"249","CDX2","UGT1A10",-0.0137785578453217
"250","CDX2","UGT1A8",0.97231186337599
"251","CEBPA","ABCB1",-8.08628201179546e-05
"252","CEBPA","ABCC1",-2.91521797718582e-05
"253","CEBPA","ACACA",0.985856680631116
"254","CEBPA","ACACB",0.286683430374754
"255","CEBPA","ACE",-1.17915483108447e-06
"256","CEBPA","ADH1B",0.98097561425697
"257","CEBPA","AEBP1",0.429051096518505
"258","CEBPA","AFP",0.873540905341729
"259","CEBPA","AGT",0.836971290367279
"260","CEBPA","AGXT",0.934167746178956
