"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"ATF7IP",0.729758062111803,7.90881133333333,3.04103211381702,0.00381320195678692,0.558688560982952,-2.01887655137473,"ATF7IP"
"EFCAB5",1.33394109086956,-0.188689304117647,3.02915323254335,0.00394099123717103,0.573316398984767,-2.0425121846193,"EFCAB5"
"DSG4",-0.494734062111805,-7.49805058823529,-3.02176498202302,0.00402248316040619,0.57646188006978,-2.05718455331064,"DSG4"
"CHGB",2.54950817391304,-5.09553969607843,3.02042278793576,0.00403745576444804,0.57646188006978,-2.05984769706088,"CHGB"
"CCL24",3.40843486273292,-0.459011393333333,3.01814736677909,0.00406295806499992,0.57646188006978,-2.06436088594378,"CCL24"
"SNORD63",1.82241607204969,-2.49266677254902,3.01116742831855,0.00414213104992841,0.57646188006978,-2.07819238351653,"SNORD63"
"LOC401010",-1.8560605931677,-4.35630304901961,-3.00536601059537,0.00420903229115912,0.57646188006978,-2.0896736993286,"LOC401010"
"SNPH",1.03917572919255,-1.35798164352941,3.0049090596547,0.00421434451045079,0.57646188006978,-2.09057745697779,"SNPH"
"SLC10A5",-2.40838892099379,-2.93018075568627,-3.00396723408801,0.0042253133616567,0.57646188006978,-2.09243993560924,"SLC10A5"
"C2orf3",0.642298888198758,2.62422256862745,3.00308918670469,0.00423556347511322,0.57646188006978,-2.09417597112139,"C2orf3"
"KCTD4",1.11284873453416,-0.986763370980392,2.99817861285516,0.00429331835983097,0.57646188006978,-2.10387922750974,"KCTD4"
"RGS22",1.12478099130435,-1.61175457078431,2.99697635607781,0.00430757029166626,0.57646188006978,-2.10625340029084,"RGS22"
"HIST1H2BC",-0.753137229813666,9.01113649019608,-2.99556124434593,0.00432440214757638,0.57646188006978,-2.10904716573792,"HIST1H2BC"
"ABCA7",-0.67080798713576,7.11243187745742,-2.99532594416259,0.00432720684935586,0.57646188006978,-2.10951162578036,"ABCA7"
"C1orf59",-2.14239012360249,-2.19989595294118,-2.99185347766989,0.0043687957622479,0.57646188006978,-2.11636334734007,"C1orf59"
"OR4F4",-0.787152062111804,-7.42298974509804,-2.99165485116161,0.00437118592672651,0.57646188006978,-2.11675512156492,"OR4F4"
"HSD17B8",0.931408905590063,2.50650165490196,2.99041214154413,0.00438616779491854,0.57646188006978,-2.11920590112613,"HSD17B8"
"RAB24",-1.09321571925466,1.35377168039216,-2.98689016423522,0.00442888925674573,0.57646188006978,-2.126148293115,"RAB24"
"PANK1",1.36334889751553,0.750005437254902,2.98357941339923,0.00446940285600621,0.57646188006978,-2.13266974741699,"PANK1"
"CLDN7",1.43212272372671,-1.25820635707843,2.98154246532745,0.00449450074841423,0.57646188006978,-2.13667988251016,"CLDN7"
"C4BPB",2.46467299565217,-5.60325543333333,2.9789873025631,0.00452616992628743,0.57646188006978,-2.14170784567687,"C4BPB"
"ZFP30",1.78004227204969,-1.4222278472549,2.974096321101,0.0045873718926448,0.57646188006978,-2.15132475543703,"ZFP30"
"IQCK",2.16189568776397,-0.578606604313725,2.97392037680216,0.00458958786021426,0.57646188006978,-2.15167052520328,"IQCK"
"PRPF18",1.77642724534161,-1.79282850196078,2.97290834570516,0.004602353524832,0.57646188006978,-2.15365914709898,"PRPF18"
"ACY3",2.84078855743354,1.26122605252064,2.97238269652699,0.00460899709104153,0.57646188006978,-2.15469187313365,"ACY3"
"AATK",-1.44592570218519,2.31637226814464,-2.9662763374349,0.00468683315450547,0.579547193293248,-2.16668058198196,"AATK"
